Run Number,Comment
1641,Trigger Rate > 2
1642,Trigger Rate > 2
1643,Trigger Rate > 2
1644,Trigger Rate > 2
1645,Trigger Rate > 2
1646,Trigger Rate > 2
1647,Trigger Rate > 2
1933,Trigger Rate > 2
1934,Trigger Rate > 2
1935,Trigger Rate > 2
1936,Trigger Rate > 2
1937,Trigger Rate > 2
1938,Trigger Rate > 2
1939,Trigger Rate > 2
1940,Trigger Rate > 2
1941,Trigger Rate > 2
1942,Trigger Rate > 2
1943,Trigger Rate > 2
1944,Trigger Rate > 2
1945,Trigger Rate > 2
1946,Trigger Rate > 2
1947,Trigger Rate > 2
1948,Trigger Rate > 2
1949,Trigger Rate > 2
1950,Trigger Rate > 2
1951,Trigger Rate > 2
1952,Trigger Rate > 2
1953,Trigger Rate > 2
1954,Trigger Rate > 2
1955,Trigger Rate > 2
1956,Trigger Rate > 2
1957,Trigger Rate > 2
1958,Trigger Rate > 2
1959,Trigger Rate > 2
1960,Trigger Rate > 2
1962,Trigger Rate > 2
1963,Trigger Rate > 2
1964,Trigger Rate > 2
1965,Trigger Rate > 2
1966,Trigger Rate > 2
1967,Trigger Rate > 2
1968,Trigger Rate > 2
1969,Trigger Rate > 2
1970,Trigger Rate > 2
1971,Trigger Rate > 2
1972,Trigger Rate > 2
1973,Trigger Rate > 2
1975,Trigger Rate > 2
1983,Trigger Rate > 2
1986,Trigger Rate > 2
1988,Trigger Rate > 2
2111,Trigger Rate > 2
2129,Trigger Rate > 2
2130,Trigger Rate > 2
2131,Trigger Rate > 2
2132,Trigger Rate > 2
2133,Trigger Rate > 2
2134,Trigger Rate > 2
2135,Trigger Rate > 2
2136,Trigger Rate > 2
2137,Trigger Rate > 2
2138,Trigger Rate > 2
2139,Trigger Rate > 2
2140,Trigger Rate > 2
2141,Trigger Rate > 2
2142,Trigger Rate > 2
2143,Trigger Rate > 2
2144,Trigger Rate > 2
2148,Trigger Rate > 2
2170,Trigger Rate > 2
2171,Trigger Rate > 2
2214,coax sweep
2215,fib0 sweep
2232,
2233,
2234,
2236,only-triggering on upward facing
2237,only-triggering on upward facing
2238,only-triggering on upward facing
2239,only-triggering on upward facing
2240,only-triggering on upward facing
2241,only-triggering on upward facing
2242,only-triggering on upward facing
2243,only-triggering on upward facing
2244,only-triggering on upward facing
2245,only-triggering on upward facing
2246,only-triggering on upward facing
2247,only-triggering on upward facing
2248,only-triggering on upward facing
2249,only-triggering on downward facing
2303,Trigger Rate > 2
2304,Trigger Rate > 2
2352,Trigger Rate > 2
2353,Trigger Rate > 2
2354,Trigger Rate > 2
2410,pulsing run
2413,pulsing run
2414,pulsing run
2415,pulsing run
2417,pulsing run
2418,pulsing run
2419,pulsing run
2420,pulsing run
2421,pulsing run
2423,pulsing run
2424,pulsing run
2425,pulsing run
2426,pulsing run
2427,pulsing run
2428,pulsing run
2429,pulsing run
2430,pulsing run
2431,pulsing run
2432,pulsing run
2433,pulsing run
2434,pulsing run
2435,pulsing run
2436,pulsing run
2438,pulsing run
2439,pulsing run
2440,pulsing run
2441,pulsing run
2455,Trigger Rate > 2
2456,Trigger Rate > 2
2458,Trigger Rate > 2
2459,Trigger Rate > 2
2492,Trigger Rate > 2
2493,bermtop pulsing
2494,bermtop pulsing
2495,bermtop pulsing
2656,change diode bias on surface trigger to investigate trigger rate
2657,change diode bias on surface trigger to investigate trigger rate
2658,change diode bias on surface trigger to investigate trigger rate
2659,change diode bias on surface trigger to investigate trigger rate
2660,change diode bias on surface trigger to investigate trigger rate
2661,change diode bias on surface trigger to investigate trigger rate
2747,Trigger Rate > 2
2791,investigate trigger rate: only downward facing trigger
2792,investigate trigger rate: only downward facing trigger wo cha 12
2793,investigate trigger rate: only downward facing trigger wo cha 14
2804,investigate trigger rate: only downward facing wo cha 15
2805,investigate trigger rate: only downward facing wo cha 17
2806,investigate trigger rate: only downward facing wo cha 18
2807,investigate trigger rate: only downward facing wo cha 20
2913,Trigger Rate > 2
2915,Trigger Rate > 2
2922,Trigger Rate > 2
2923,Trigger Rate > 2
2924,Trigger Rate > 2
2925,Trigger Rate > 2
3400,fib0 sweep
3401,fib1 sweep
3402,coax sweep
3417,
3553,Trigger Rate > 2
3633,Trigger Rate > 2
3634,Trigger Rate > 2
3635,Trigger Rate > 2
3636,Trigger Rate > 2
3637,Trigger Rate > 2
3638,Trigger Rate > 2
3692,Trigger Rate > 2
3695,Trigger Rate > 2
3696,Trigger Rate > 2
3699,Trigger Rate > 2
3707,Trigger Rate > 2
3708,Trigger Rate > 2
3709,Trigger Rate > 2
3710,Trigger Rate > 2
3711,Trigger Rate > 2
3712,Trigger Rate > 2
3713,Trigger Rate > 2
3717,Trigger Rate > 2
3718,Trigger Rate > 2
3719,Trigger Rate > 2
3720,Trigger Rate > 2
3721,Trigger Rate > 2
3722,Trigger Rate > 2
3723,Trigger Rate > 2
3724,Trigger Rate > 2
3725,Trigger Rate > 2
3726,Trigger Rate > 2
3727,Trigger Rate > 2
3728,Trigger Rate > 2
3729,Trigger Rate > 2
3730,Trigger Rate > 2
3731,Trigger Rate > 2
3732,Trigger Rate > 2
3733,Trigger Rate > 2
3734,Trigger Rate > 2
3735,Trigger Rate > 2
3736,Trigger Rate > 2
3737,Trigger Rate > 2
3738,Trigger Rate > 2
3739,Trigger Rate > 2
3740,Trigger Rate > 2
3741,Trigger Rate > 2
3742,Trigger Rate > 2
3743,Trigger Rate > 2
3745,Trigger Rate > 2
3746,Trigger Rate > 2
3747,Trigger Rate > 2
3748,Trigger Rate > 2
3749,Trigger Rate > 2
3750,Trigger Rate > 2
3849,Trigger Rate > 2
3903,Trigger Rate > 2
3904,Trigger Rate > 2
3905,Trigger Rate > 2
3906,Trigger Rate > 2
3907,Trigger Rate > 2
3908,Trigger Rate > 2
3909,Trigger Rate > 2
3910,Trigger Rate > 2
3911,Trigger Rate > 2
3912,Trigger Rate > 2
3913,Trigger Rate > 2
3914,Trigger Rate > 2
3922,
3923,
3948,Trigger Rate > 2
3949,Trigger Rate > 2
3950,Trigger Rate > 2
3951,Trigger Rate > 2
3952,Trigger Rate > 2
3953,Trigger Rate > 2
3954,Trigger Rate > 2
3955,Trigger Rate > 2
3956,Trigger Rate > 2
3957,Trigger Rate > 2
3958,Trigger Rate > 2
3959,Trigger Rate > 2
3960,Trigger Rate > 2
3961,Trigger Rate > 2
3962,Trigger Rate > 2
3963,Trigger Rate > 2
3964,Trigger Rate > 2
3965,Trigger Rate > 2
3966,Trigger Rate > 2
3967,Trigger Rate > 2
3968,Trigger Rate > 2
3969,Trigger Rate > 2
3970,Trigger Rate > 2
3971,Trigger Rate > 2
3972,Trigger Rate > 2
3973,Trigger Rate > 2
3974,Trigger Rate > 2
3975,Trigger Rate > 2
3976,Trigger Rate > 2
3977,Trigger Rate > 2
3978,Trigger Rate > 2
3979,Trigger Rate > 2
3980,Trigger Rate > 2
3981,Trigger Rate > 2
3982,Trigger Rate > 2
3983,Trigger Rate > 2
3984,Trigger Rate > 2
3985,Trigger Rate > 2
3986,Trigger Rate > 2
3987,Trigger Rate > 2
3988,Trigger Rate > 2
3989,Trigger Rate > 2
3990,Trigger Rate > 2
3991,Trigger Rate > 2
3992,Trigger Rate > 2
4099,Trigger Rate > 2
4107,Trigger Rate > 2
4142,Trigger Rate > 2
4187,Trigger Rate > 2
4188,Trigger Rate > 2
4327,Trigger Rate > 2
4346,Trigger Rate > 2
4389,
4390,
4391,
4392,
4393,
4394,
4395,
4396,
4397,
4398,
4399,
4400,
4401,
4435,Trigger Rate > 2
4647,Trigger Rate > 2
4648,Trigger Rate > 2
4649,Trigger Rate > 2
4650,Trigger Rate > 2
4651,Trigger Rate > 2
4652,Trigger Rate > 2
4653,Trigger Rate > 2
4726,Trigger Rate > 2
4732,Trigger Rate > 2
4733,Trigger Rate > 2
4734,Trigger Rate > 2
4735,Trigger Rate > 2
4736,Trigger Rate > 2
4737,Trigger Rate > 2
4738,Trigger Rate > 2
4739,Trigger Rate > 2
4740,Trigger Rate > 2
4741,Trigger Rate > 2
4742,Trigger Rate > 2
4743,Trigger Rate > 2
4744,Trigger Rate > 2
4745,Trigger Rate > 2
4746,Trigger Rate > 2
4747,Trigger Rate > 2
4748,Trigger Rate > 2
4757,Trigger Rate > 2
4759,Trigger Rate > 2
4760,Trigger Rate > 2
4761,Trigger Rate > 2
4762,Trigger Rate > 2
4763,Trigger Rate > 2
4764,Trigger Rate > 2
4765,Trigger Rate > 2
4766,Trigger Rate > 2
4781,Trigger Rate > 2
4831,Trigger Rate > 2
4835,Trigger Rate > 2
4839,Trigger Rate > 2
50002,Test run after daq swap
50003,Test run after daq swap
50004,Test run after daq swap
50005,Test run after daq swap
50006,Test run after daq swap
50007,Test run after daq swap
240005,Trigger Rate > 2
240012,Trigger Rate > 2
240013,Trigger Rate > 2
240035,Trigger Rate > 2
240038,Trigger Rate > 2
240071,Trigger Rate > 2
240083,Trigger Rate > 2
240086,Trigger Rate > 2
240087,Trigger Rate > 2
240088,Trigger Rate > 2
240107,Trigger Rate > 2
240123,Trigger Rate > 2
240125,Trigger Rate > 2
240127,Trigger Rate > 2
240130,Trigger Rate > 2
240131,Trigger Rate > 2
240132,Trigger Rate > 2
240143,Trigger Rate > 2
240150,Trigger Rate > 2
240163,Trigger Rate > 2
240165,Trigger Rate > 2
240168,Trigger Rate > 2
240180,Trigger Rate > 2
240181,Trigger Rate > 2
240188,Trigger Rate > 2
240189,Trigger Rate > 2
240204,Trigger Rate > 2
240205,Trigger Rate > 2
240208,Trigger Rate > 2
240214,Surface pulser run with PPS trigger
240215,Surface pulser run with PPS trigger
240216,Surface pulser run with PPS trigger
240217,Surface pulser run with PPS trigger
240219,Trigger Rate > 2
240221,Surface pulser run with PPS trigger
240222,Surface pulser run with PPS trigger
240237,Trigger Rate > 2
240239,Trigger Rate > 2
240242,Trigger Rate > 2
240243,Trigger Rate > 2
240245,Trigger Rate > 2
240255,Trigger Rate > 2
240257,Trigger Rate > 2
240265,Trigger Rate > 2
240268,Trigger Rate > 2
240269,Trigger Rate > 2
240275,Trigger Rate > 2
240277,Trigger Rate > 2
240280,Trigger Rate > 2
240282,Pulser Test
240283,Pulser Test
240284,Pulser Test
240285,Pulser Test
240286,Pulser Test
240287,Pulser test
240288,Pulser test
240292,Pulser test
240301,fib0 0dB pulsing
240305,Trigger Rate > 2
240306,Trigger Rate > 2
240307,coax pulser 0 dB
240311,Trigger Rate > 2
240315,Trigger Rate > 2
240349,coax sweep
240350,fib0 sweep
240351,fib1 sweep
240352,Trigger Rate > 2
240373,Trigger Rate > 2
240383,pulser
240397,coax sweep
240398,fib0 sweep
240399,fib1 sweep
240431,Trigger Rate > 2
240439,Trigger Rate > 2
240481,Trigger Rate > 2
240490,Trigger Rate > 2
240502,Trigger Rate > 2
240565,Trigger Rate > 2
240566,Trigger Rate > 2
240567,Trigger Rate > 2
240571,Trigger Rate > 2
240574,Trigger Rate > 2
240575,Trigger Rate > 2
240582,Trigger Rate > 2
240589,Trigger Rate > 2
240597,Trigger Rate > 2
240598,Trigger Rate > 2
240599,Trigger Rate > 2
240600,Trigger Rate > 2
240601,Trigger Rate > 2
240602,Trigger Rate > 2
240666,Trigger Rate > 2
240668,Trigger Rate > 2
240669,Trigger Rate > 2
240670,Trigger Rate > 2
240671,Trigger Rate > 2
240672,Trigger Rate > 2
240673,Trigger Rate > 2
240674,Trigger Rate > 2
240675,Trigger Rate > 2
240676,Trigger Rate > 2
240679,Trigger Rate > 2
240681,Trigger Rate > 2
240692,Trigger Rate > 2
240694,Trigger Rate > 2
240695,Trigger Rate > 2
240697,Trigger Rate > 2
240698,Trigger Rate > 2
240710,Trigger Rate > 2
240717,Trigger Rate > 2
240719,Trigger Rate > 2
240726,Trigger Rate > 2
240727,Trigger Rate > 2
240729,test phased trigger v0p9
240730,test phased trigger v0p9
240732,test phased trigger v0p9
240733,test phased trigger v0p9
240734,test phased trigger v0p9
240735,test phased trigger v0p9
240736,test phased trigger v0p9
240737,test phased trigger v0p9
240738,test phased trigger v0p9
240739,test phased trigger v0p9
240740,test phased trigger v0p9
240741,test phased trigger v0p9
240742,test phased trigger v0p9
240743,test phased trigger v0p9
240744,test phased trigger v0p9
240745,test phased trigger v0p9
240746,test phased trigger v0p9
240747,test phased trigger v0p9
240748,test phased firmware but coinc trigger also v0p10
240749,test phased firmware but coinc trigger also v0p10
240750,test phased firmware but coinc trigger also v0p10
240751,test phased firmware but coinc trigger also v0p10
240752,test phased firmware but coinc trigger also v0p10
240753,test phased firmware but coinc trigger also v0p10
240754,test phased firmware but coinc trigger also v0p10
240755,test phased firmware but coinc trigger also v0p10
240756,test phased firmware but coinc trigger also v0p10
240757,test phased firmware but coinc trigger also v0p10
240758,test phased firmware without pulser v0p10
3585,Failed RMS Check
3621,Failed RMS Check
3943,Failed RMS Check
3434,Failed RMS Check
2225,Failed RMS Check
2450,Failed RMS Check
2451,Failed RMS Check
2452,Failed RMS Check
2453,Failed RMS Check
2454,Failed RMS Check
3604,Failed RMS Check
2457,Failed RMS Check
3418,Failed RMS Check
3612,Failed RMS Check
