Run Number,Comment
240790,Calibration run. Manual attenuation sweep with fiber0: atten=0 dB. Record flower waveforms after the DAQ run.
240791,Calibration run. Manual attenuation sweep with fiber0: atten=10.5 dB. Record flower waveforms after the DAQ run.
240792,Calibration run. Manual attenuation sweep with fiber0: atten=10 dB. Record flower waveforms after the DAQ run.
240793,Calibration run. Manual attenuation sweep with fiber0: atten=11.5 dB. Record flower waveforms after the DAQ run.
240794,Calibration run. Manual attenuation sweep with fiber0: atten=11 dB. Record flower waveforms after the DAQ run.
240795,Calibration run. Manual attenuation sweep with fiber0: atten=12.5 dB. Record flower waveforms after the DAQ run.
240796,Calibration run. Manual attenuation sweep with fiber0: atten=13.5 dB. Record flower waveforms after the DAQ run.
240797,Calibration run. Manual attenuation sweep with fiber0: atten=12 dB. Record flower waveforms after the DAQ run.
240798,Calibration run. Manual attenuation sweep with fiber0: atten=13 dB. Record flower waveforms after the DAQ run.
240799,Calibration run. Manual attenuation sweep with fiber0: atten=14.5 dB. Record flower waveforms after the DAQ run.
240800,Calibration run. Manual attenuation sweep with fiber0: atten=14 dB. Record flower waveforms after the DAQ run.
240801,Calibration run. Manual attenuation sweep with fiber0: atten=15.5 dB. Record flower waveforms after the DAQ run.
240802,Calibration run. Manual attenuation sweep with fiber0: atten=15 dB. Record flower waveforms after the DAQ run.
240803,Calibration run. Manual attenuation sweep with fiber0: atten=16.5 dB. Record flower waveforms after the DAQ run.
240804,Calibration run. Manual attenuation sweep with fiber0: atten=16 dB. Record flower waveforms after the DAQ run.
240805,Calibration run. Manual attenuation sweep with fiber0: atten=17.5 dB. Record flower waveforms after the DAQ run.
240806,Calibration run. Manual attenuation sweep with fiber0: atten=17 dB. Record flower waveforms after the DAQ run.
240807,Calibration run. Manual attenuation sweep with fiber0: atten=18.5 dB. Record flower waveforms after the DAQ run.
240808,Calibration run. Manual attenuation sweep with fiber0: atten=18 dB. Record flower waveforms after the DAQ run.
240809,Calibration run. Manual attenuation sweep with fiber0: atten=19.5 dB. Record flower waveforms after the DAQ run.
240810,Calibration run. Manual attenuation sweep with fiber0: atten=19 dB. Record flower waveforms after the DAQ run.
240811,Calibration run. Manual attenuation sweep with fiber0: atten=1 dB. Record flower waveforms after the DAQ run.
240812,Calibration run. Manual attenuation sweep with fiber0: atten=20.5 dB. Record flower waveforms after the DAQ run.
240813,Calibration run. Manual attenuation sweep with fiber0: atten=20 dB. Record flower waveforms after the DAQ run.
240814,Calibration run. Manual attenuation sweep with fiber0: atten=21 dB. Record flower waveforms after the DAQ run.
240815,Calibration run. Manual attenuation sweep with fiber0: atten=22 dB. Record flower waveforms after the DAQ run.
240816,Calibration run. Manual attenuation sweep with fiber0: atten=23 dB. Record flower waveforms after the DAQ run.
240817,Calibration run. Manual attenuation sweep with fiber0: atten=25 dB. Record flower waveforms after the DAQ run.
240818,Calibration run. Manual attenuation sweep with fiber0: atten=24 dB. Record flower waveforms after the DAQ run.
240819,Calibration run. Manual attenuation sweep with fiber0: atten=26 dB. Record flower waveforms after the DAQ run.
240820,Calibration run. Manual attenuation sweep with fiber0: atten=27 dB. Record flower waveforms after the DAQ run.
240821,Calibration run. Manual attenuation sweep with fiber0: atten=28 dB. Record flower waveforms after the DAQ run.
240822,Calibration run. Manual attenuation sweep with fiber0: atten=29 dB. Record flower waveforms after the DAQ run.
240823,Calibration run. Manual attenuation sweep with fiber0: atten=2 dB. Record flower waveforms after the DAQ run.
240824,Calibration run. Manual attenuation sweep with fiber0: atten=30 dB. Record flower waveforms after the DAQ run.
240825,Calibration run. Manual attenuation sweep with fiber0: atten=3 dB. Record flower waveforms after the DAQ run.
240826,Calibration run. Manual attenuation sweep with fiber0: atten=4 dB. Record flower waveforms after the DAQ run.
240827,Calibration run. Manual attenuation sweep with fiber0: atten=5.5 dB. Record flower waveforms after the DAQ run.
240828,Calibration run. Manual attenuation sweep with fiber0: atten=5 dB. Record flower waveforms after the DAQ run.
240829,Calibration run. Manual attenuation sweep with fiber0: atten=6.5 dB. Record flower waveforms after the DAQ run.
240830,Calibration run. Manual attenuation sweep with fiber0: atten=6 dB. Record flower waveforms after the DAQ run.
240831,Calibration run. Manual attenuation sweep with fiber0: atten=7.5 dB. Record flower waveforms after the DAQ run.
240832,Calibration run. Manual attenuation sweep with fiber0: atten=7 dB. Record flower waveforms after the DAQ run.
240833,Calibration run. Manual attenuation sweep with fiber0: atten=8.5 dB. Record flower waveforms after the DAQ run.
240834,Calibration run. Manual attenuation sweep with fiber0: atten=8 dB. Record flower waveforms after the DAQ run.
240835,Calibration run. Manual attenuation sweep with fiber0: atten=9.5 dB. Record flower waveforms after the DAQ run.
240836,Calibration run. Manual attenuation sweep with fiber0: atten=9 dB. Record flower waveforms after the DAQ run.
240640,Failed RMS Check
240641,Failed RMS Check
240642,Failed RMS Check
240643,Failed RMS Check
240644,Failed RMS Check
240645,Failed RMS Check
240646,Failed RMS Check
240647,Failed RMS Check
240648,Failed RMS Check
13,Failed RMS Check
3135,Failed RMS Check
3136,Failed RMS Check
240181,Failed RMS Check
240183,Failed RMS Check
240184,Failed RMS Check
240185,Failed RMS Check
240186,Failed RMS Check
240187,Failed RMS Check
240188,Failed RMS Check
240189,Failed RMS Check
240190,Failed RMS Check
240191,Failed RMS Check
240192,Failed RMS Check
240193,Failed RMS Check
240194,Failed RMS Check
240195,Failed RMS Check
240196,Failed RMS Check
240197,Failed RMS Check
240198,Failed RMS Check
240199,Failed RMS Check
240200,Failed RMS Check
240201,Failed RMS Check
240202,Failed RMS Check
240203,Failed RMS Check
240204,Failed RMS Check
240205,Failed RMS Check
3137,Failed RMS Check
240207,Failed RMS Check
240208,Failed RMS Check
240209,Failed RMS Check
240210,Failed RMS Check
240211,Failed RMS Check
240212,Failed RMS Check
240213,Failed RMS Check
240214,Failed RMS Check
240215,Failed RMS Check
240216,Failed RMS Check
240217,Failed RMS Check
240218,Failed RMS Check
240219,Failed RMS Check
240220,Failed RMS Check
240221,Failed RMS Check
240222,Failed RMS Check
240223,Failed RMS Check
240224,Failed RMS Check
240225,Failed RMS Check
240226,Failed RMS Check
240227,Failed RMS Check
240228,Failed RMS Check
240229,Failed RMS Check
240230,Failed RMS Check
240231,Failed RMS Check
3169,Failed RMS Check
3292,Failed RMS Check
3301,Failed RMS Check
3895,Failed RMS Check
240000,Failed RMS Check
240001,Failed RMS Check
240002,Failed RMS Check
240003,Failed RMS Check
240004,Failed RMS Check
240005,Failed RMS Check
240006,Failed RMS Check
240007,Failed RMS Check
240008,Failed RMS Check
240009,Failed RMS Check
240010,Failed RMS Check
240011,Failed RMS Check
240012,Failed RMS Check
240013,Failed RMS Check
240014,Failed RMS Check
240015,Failed RMS Check
240016,Failed RMS Check
240017,Failed RMS Check
240018,Failed RMS Check
240019,Failed RMS Check
240020,Failed RMS Check
240021,Failed RMS Check
240022,Failed RMS Check
240023,Failed RMS Check
240024,Failed RMS Check
240025,Failed RMS Check
240026,Failed RMS Check
240027,Failed RMS Check
240028,Failed RMS Check
240029,Failed RMS Check
240030,Failed RMS Check
240031,Failed RMS Check
240032,Failed RMS Check
240033,Failed RMS Check
240034,Failed RMS Check
240035,Failed RMS Check
240036,Failed RMS Check
240037,Failed RMS Check
240038,Failed RMS Check
240039,Failed RMS Check
240040,Failed RMS Check
240041,Failed RMS Check
240042,Failed RMS Check
240043,Failed RMS Check
240044,Failed RMS Check
240045,Failed RMS Check
240046,Failed RMS Check
240047,Failed RMS Check
240048,Failed RMS Check
3131,Failed RMS Check
3138,Failed RMS Check
3139,Failed RMS Check
3140,Failed RMS Check
3141,Failed RMS Check
3142,Failed RMS Check
3143,Failed RMS Check
3132,Failed RMS Check
3144,Failed RMS Check
3145,Failed RMS Check
3146,Failed RMS Check
3147,Failed RMS Check
3148,Failed RMS Check
3133,Failed RMS Check
3149,Failed RMS Check
3150,Failed RMS Check
3151,Failed RMS Check
3152,Failed RMS Check
3153,Failed RMS Check
3134,Failed RMS Check
240639,Failed RMS Check
